node_id,honest_trades,cheated_trades,packet_drops,active_steps,bft_responses,drop_rate,norm_drop_rate,is_honest
veh_0,0,0,0,1,0,0.0,0.0,1
veh_1,0,0,0,1,0,0.0,0.0,1
veh_2,0,0,0,1,0,0.0,0.0,1
veh_3,0,0,0,1,0,0.0,0.0,1
veh_4,0,0,0,1,0,0.0,0.0,0
veh_5,0,0,0,1,0,0.0,0.0,1
veh_6,0,0,0,1,0,0.0,0.0,1
veh_7,0,0,0,1,0,0.0,0.0,1
veh_8,0,0,0,1,0,0.0,0.0,1
veh_9,0,0,0,1,0,0.0,0.0,1
veh_10,0,0,0,1,0,0.0,0.0,1
veh_11,0,0,0,1,0,0.0,0.0,0
veh_12,0,0,0,1,0,0.0,0.0,1
veh_13,0,0,0,1,0,0.0,0.0,0
veh_14,0,0,0,1,0,0.0,0.0,1
veh_15,0,0,0,1,0,0.0,0.0,1
veh_16,0,0,0,1,0,0.0,0.0,0
veh_17,0,0,0,1,0,0.0,0.0,1
veh_18,0,0,0,1,0,0.0,0.0,1
veh_19,0,0,0,1,0,0.0,0.0,1
veh_20,0,0,0,1,0,0.0,0.0,1
veh_21,0,0,0,1,0,0.0,0.0,1
veh_22,0,0,0,1,0,0.0,0.0,1
veh_23,0,0,0,1,0,0.0,0.0,1
veh_24,0,0,0,1,0,0.0,0.0,1
veh_25,0,0,0,1,0,0.0,0.0,1
veh_26,0,0,0,1,0,0.0,0.0,1
veh_27,0,0,0,1,0,0.0,0.0,0
veh_28,0,0,0,1,0,0.0,0.0,1
veh_29,0,0,0,1,0,0.0,0.0,0
veh_30,0,0,0,1,0,0.0,0.0,1
veh_31,0,0,0,1,0,0.0,0.0,1
veh_32,0,0,0,1,0,0.0,0.0,0
veh_33,0,0,0,1,0,0.0,0.0,1
veh_34,0,0,0,1,0,0.0,0.0,1
veh_35,0,0,0,1,0,0.0,0.0,1
veh_36,0,0,0,1,0,0.0,0.0,1
veh_37,0,0,0,1,0,0.0,0.0,1
veh_38,0,0,0,1,0,0.0,0.0,1
veh_39,0,0,0,1,0,0.0,0.0,1
veh_40,0,0,0,1,0,0.0,0.0,1
veh_41,0,0,0,1,0,0.0,0.0,1
veh_42,0,0,0,1,0,0.0,0.0,1
veh_43,0,0,0,1,0,0.0,0.0,1
veh_44,0,0,0,1,0,0.0,0.0,1
veh_45,0,0,0,1,0,0.0,0.0,1
veh_46,0,0,0,1,0,0.0,0.0,1
veh_47,0,0,0,1,0,0.0,0.0,1
veh_48,0,0,0,1,0,0.0,0.0,1
veh_49,0,0,0,1,0,0.0,0.0,1
veh_50,0,0,0,1,0,0.0,0.0,1
